# telescope   = tel13
# season      = 2014-2019
# filter      = RG715
# aperture    = 8.485                pix
# deblend     = 1
# gliese      = 1132
# lhs         = 281
# nltt        = 23819
# twomass     = 10145184-4709244
# ra          = 10:14:51.770         hr
# dec         = -47:09:24.10         deg
# pmra        = -1.04648201531881    arcsec/yr
# pmdec       = 0.416445772717513    arcsec/yr
# aflag       = R 
# plx         = 0.0792543382307208   arcsec
# e_plx       = 4.37672245690568e-05 arcsec
# r_plx       = 2018A&A...616A...1G
# distmod     = 0.504884780055967    mag
# s_distmod   = T
# bjmag       = 13.95                mag
# rfmag       = 11.93                mag
# inmag       = 9.57                 mag
# jmag        = 9.245                mag
# e_jmag      = 0.026                mag
# q_jmag      = A
# hmag        = 8.666                mag
# e_hmag      = 0.031                mag
# q_hmag      = A
# kmag        = 8.322                mag
# e_kmag      = 0.027                mag
# q_kmag      = A
# vest        = 13.49                mag
# s_vest      = R
# vmjest      = 4.245                mag
# vmag        = 13.49                mag
# rcmag       = 12.26                mag
# icmag       = 10.69                mag
# r_vrimag    = 2005AJ....129.1954J
# spectype    = M3.5
# r_spectype  = 1996AJ....112.2799H
# mass        = 0.193767437731184    Msol
# radius      = 0.214841130737437    Rsol
# null_dc[1]  = 0.000092             mag
# null_dc[2]  = 0.000305             mag
# null_dc[3]  = 0.001318             mag
# null_dc[4]  = 0.001996             mag
# null_dc[5]  = -0.000529            mag
# null_dc[6]  = -0.000429            mag
# null_dc[7]  = -0.000696            mag
# null_dc[8]  = -0.001825            mag
# null_dc[9]  = 0.001943             mag
# null_dc[10] = 0.000993             mag
# null_dc[11] = 0.000710             mag
# null_cm     = 0.699190             mag/mag
# null_fwhm_k = 0.000395             mag/pix
# null_fwhm_0 = 2.639000             pix
# null_chidof = 3.767
# null_nfit   = 22489
# null_nparm  = 13
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2456687.576183    0.011920    0.002983  18.023 -0.0433  2.428 0.050 1.72418  1023.199  1021.935    0.01    43.34 20312  1  1 0 0  0.004846    0.008523
2456687.576700    0.013486    0.002977  18.023 -0.0376  2.462 0.064 1.71892  1024.511  1024.982    0.01    43.13 18572  1  1 0 0  0.004851    0.010073
2456687.595254    0.008736    0.002664  18.023 -0.0421  2.412 0.057 1.55296  1023.668  1022.562    0.01    42.88 18334  1  1 0 0  0.005674    0.004767
2456687.595772    0.009378    0.002659  18.023 -0.0428  2.425 0.052 1.54891  1023.824  1022.846    0.02    41.08 20127  1  1 0 0  0.005706    0.005382
2456687.611849    0.021228    0.002500  18.023 -0.0501  2.508 0.050 1.43589  1023.095  1023.673    0.02    38.56 17257  1  1 0 0  0.006319    0.016770
2456687.612359    0.012088    0.002500  18.023 -0.0514  2.422 0.056 1.43268  1024.007  1023.008    0.02    39.37 21509  1  1 0 0  0.006329    0.007657
2456687.627192    0.017521    0.002361  18.023 -0.0543  2.359 0.051 1.34801  1022.732  1023.445    0.02    41.21 20115  1  1 0 0  0.006577    0.012941
2456687.627701    0.014904    0.002369  18.023 -0.0579  2.540 0.047 1.34538  1023.367  1024.304    0.02    39.58 16502  1  1 0 0  0.006582    0.010249
2456687.639971    0.008552    0.002267  18.023 -0.0510  2.348 0.045 1.28695  1023.364  1022.778    0.02    35.86 18723  1  1 0 0  0.006717    0.003878
2456687.640480    0.021852    0.002285  18.023 -0.0536  2.550 0.054 1.28472  1023.919  1022.379    0.03    38.34 17311  1  1 0 0  0.006723    0.017095
2456687.662299    0.010626    0.002155  18.023 -0.0537  2.842 0.058 1.20178  1023.880  1024.240    0.02    33.19 15036  1  1 0 0  0.006324    0.006032
2456687.662814    0.012263    0.002170  18.023 -0.0571  2.664 0.059 1.20010  1024.754  1023.933    0.02    36.30 16913  1  1 0 0  0.006313    0.007748
2456687.678334    0.013824    0.002118  18.023 -0.0632  2.427 0.055 1.15462  1024.252  1024.103    0.03    31.81 19794  1  1 0 0  0.006895    0.008996
2456687.678855    0.009793    0.002089  18.023 -0.0662  2.468 0.047 1.15326  1024.478  1023.328    0.03    35.74 17710  1  1 0 0  0.006915    0.004934
2456687.694744    0.008366    0.002054  18.023 -0.0600  2.188 0.042 1.11652  1023.211  1023.236    0.04    35.00 23400  1  1 0 0  0.008274    0.002667
2456687.695261    0.014181    0.002044  18.023 -0.0584  2.189 0.050 1.11548  1023.637  1024.481    0.04    33.80 20685  1  1 0 0  0.008327    0.008445
2456687.713791    0.018110    0.002036  18.023 -0.0691  2.629 0.078 1.08355  1024.012  1022.522    0.05    37.01 15816  1  1 0 0  0.009159    0.011619
2456687.714298    0.012547    0.002011  18.023 -0.0668  2.422 0.050 1.08283  1024.383  1023.782    0.04    36.65 18551  1  1 0 0  0.009161    0.006136
2456687.731413    0.011771    0.002014  18.023 -0.0654  2.324 0.048 1.06266  1023.717  1023.317    0.05    30.00 21427  1  1 0 0  0.009077    0.005457
2456687.731914    0.015744    0.001969  18.023 -0.0667  2.312 0.053 1.06219  1023.972  1022.635    0.05    28.99 21146  1  1 0 0  0.009070    0.009440
2456687.748410    0.016515    0.001972  18.023 -0.0722  2.059 0.047 1.05054  1023.838  1024.214    0.05    29.84 29646  1  1 0 0  0.008894    0.010434
2456687.748920    0.012700    0.001963  18.023 -0.0718  2.142 0.041 1.05030  1024.309  1025.106    0.05    30.27 22672  1  1 0 0  0.008892    0.006587
2456687.763338    0.011648    0.001994  18.023 -0.0720  2.271 0.039 1.04611  1023.090  1024.238    0.06    23.34 22139  1  1 0 0  0.008827    0.005530
2456687.763851    0.016200    0.001978  18.023 -0.0713  2.177 0.041 1.04606  1023.874  1024.480    0.06    26.55 22421  1  1 0 0  0.008798    0.010140
2456687.780869    0.015115    0.001976  18.023 -0.0731  2.149 0.058 1.04815  1021.972  1022.680  179.96    33.79 25401  2  1 0 0  0.007819    0.009536
2456687.781381    0.014445    0.001946  18.023 -0.0705  2.158 0.067 1.04833  1022.257  1022.632  179.96    35.61 22547  2  1 0 0  0.007790    0.008883
2456687.794029    0.018004    0.001983  18.023 -0.0625  2.336 0.121 1.05487  1020.370  1024.886  179.94    36.92 18987  2  1 0 0  0.008282    0.012028
2456687.794536    0.014361    0.001983  18.023 -0.0683  2.212 0.059 1.05522  1021.001  1024.501  179.94    37.73 20656  2  1 0 0  0.008309    0.008415
2456687.813606    0.010964    0.001990  18.023 -0.0685  2.106 0.068 1.07340  1019.576  1023.247  179.94    32.85 24217  2  1 0 0  0.008366    0.005020
2456687.814111    0.014944    0.001988  18.023 -0.0679  2.204 0.076 1.07402  1020.623  1024.065  179.94    33.51 23104  2  1 0 0  0.008348    0.008974
2456687.830768    0.007349    0.002026  18.023 -0.0641  3.077 0.110 1.09860  1020.603  1023.738  179.95    35.22 12211  2  1 0 0  0.008179    0.001153
2456687.831284    0.017146    0.002022  18.023 -0.0644  3.128 0.176 1.09949  1021.072  1022.972  179.95    35.33 11708  2  1 0 0  0.008188    0.010923
2456687.848051    0.015207    0.002060  18.023 -0.0623  3.106 0.107 1.13332  1020.804  1022.493  179.95    30.02 11194  2  1 0 0  0.008461    0.008802
2456687.848558    0.003789    0.002066  18.023 -0.0694  3.118 0.138 1.13449  1021.633  1023.406  179.96    30.46 12150  2  1 0 0  0.008466   -0.002625
2456687.867899    0.015237    0.002125  18.023 -0.0743  3.111 0.099 1.18640  1022.140  1023.315  179.98    30.22 12349  2  1 0 0  0.008801    0.008592
2456687.868415    0.011788    0.002145  18.023 -0.0749  2.921 0.154 1.18799  1023.034  1023.282  179.98    31.89 12708  2  1 0 0  0.008821    0.005205
2456687.882454    0.009932    0.002198  18.023 -0.0704  3.172 0.109 1.23576  1019.901  1024.103  179.97    43.78 12203  2  1 0 0  0.009361    0.002871
2456687.882973    0.009120    0.002227  18.023 -0.0734  2.807 0.080 1.23770  1021.179  1023.589  179.98    48.05 13643  2  1 0 0  0.009384    0.002187
2456688.554240    0.014839    0.003450  18.023 -0.1245  2.839 0.132 1.95159  1023.783  1022.768   -0.00    69.93 13820  1  1 0 0  0.003898    0.011943
2456688.554759    0.011620    0.003425  18.023 -0.1178  2.753 0.084 1.94456  1023.725  1022.673   -0.01    69.73 15644  1  1 0 0  0.003905    0.008753
